[s],CH1[V]
-1.4344E-02,2.355E-02
-1.4342E-02,2.355E-02
-1.4340E-02,2.355E-02
-1.4338E-02,2.355E-02
-1.4336E-02,2.395E-02
-1.4334E-02,2.355E-02
-1.4332E-02,2.355E-02
-1.4330E-02,2.355E-02
-1.4328E-02,2.355E-02
-1.4326E-02,2.355E-02
-1.4324E-02,2.355E-02
-1.4322E-02,2.395E-02
-1.4320E-02,2.355E-02
-1.4318E-02,2.355E-02
-1.4316E-02,2.395E-02
-1.4314E-02,2.355E-02
-1.4312E-02,2.355E-02
-1.4310E-02,2.355E-02
-1.4308E-02,2.355E-02
-1.4306E-02,2.355E-02
-1.4304E-02,2.355E-02
-1.4302E-02,2.355E-02
-1.4300E-02,2.355E-02
-1.4298E-02,2.395E-02
-1.4296E-02,2.355E-02
-1.4294E-02,2.355E-02
-1.4292E-02,2.355E-02
-1.4290E-02,2.355E-02
-1.4288E-02,2.355E-02
-1.4286E-02,2.355E-02
-1.4284E-02,2.395E-02
-1.4282E-02,2.355E-02
-1.4280E-02,2.355E-02
-1.4278E-02,2.355E-02
-1.4276E-02,2.355E-02
-1.4274E-02,2.355E-02
-1.4272E-02,2.355E-02
-1.4270E-02,2.355E-02
-1.4268E-02,2.355E-02
-1.4266E-02,2.395E-02
-1.4264E-02,2.355E-02
-1.4262E-02,2.355E-02
-1.4260E-02,2.355E-02
-1.4258E-02,2.395E-02
-1.4256E-02,2.355E-02
-1.4254E-02,2.355E-02
-1.4252E-02,2.355E-02
-1.4250E-02,2.355E-02
-1.4248E-02,2.395E-02
-1.4246E-02,2.355E-02
-1.4244E-02,2.355E-02
-1.4242E-02,2.355E-02
-1.4240E-02,2.355E-02
-1.4238E-02,2.355E-02
-1.4236E-02,2.355E-02
-1.4234E-02,2.355E-02
-1.4232E-02,2.355E-02
-1.4230E-02,2.395E-02
-1.4228E-02,2.355E-02
-1.4226E-02,2.395E-02
-1.4224E-02,2.315E-02
-1.4222E-02,2.355E-02
-1.4220E-02,2.355E-02
-1.4218E-02,2.355E-02
-1.4216E-02,2.395E-02
-1.4214E-02,2.355E-02
-1.4212E-02,2.355E-02
-1.4210E-02,2.355E-02
-1.4208E-02,2.395E-02
-1.4206E-02,2.355E-02
-1.4204E-02,2.355E-02
-1.4202E-02,2.395E-02
-1.4200E-02,2.355E-02
-1.4198E-02,2.355E-02
-1.4196E-02,2.355E-02
-1.4194E-02,2.355E-02
-1.4192E-02,2.355E-02
-1.4190E-02,2.355E-02
-1.4188E-02,2.395E-02
-1.4186E-02,2.355E-02
-1.4184E-02,2.355E-02
-1.4182E-02,2.355E-02
-1.4180E-02,2.355E-02
-1.4178E-02,2.355E-02
-1.4176E-02,2.395E-02
-1.4174E-02,2.355E-02
-1.4172E-02,2.355E-02
-1.4170E-02,2.355E-02
-1.4168E-02,2.395E-02
-1.4166E-02,2.355E-02
-1.4164E-02,2.355E-02
-1.4162E-02,2.355E-02
-1.4160E-02,2.355E-02
-1.4158E-02,2.355E-02
-1.4156E-02,2.315E-02
-1.4154E-02,2.355E-02
-1.4152E-02,2.355E-02
-1.4150E-02,2.355E-02
-1.4148E-02,2.355E-02
-1.4146E-02,2.355E-02
-1.4144E-02,2.395E-02
-1.4142E-02,2.355E-02
-1.4140E-02,2.355E-02
-1.4138E-02,2.355E-02
-1.4136E-02,2.355E-02
-1.4134E-02,2.355E-02
-1.4132E-02,2.355E-02
-1.4130E-02,2.395E-02
-1.4128E-02,2.315E-02
-1.4126E-02,2.355E-02
-1.4124E-02,2.395E-02
-1.4122E-02,2.355E-02
-1.4120E-02,2.355E-02
-1.4118E-02,2.315E-02
-1.4116E-02,2.355E-02
-1.4114E-02,2.355E-02
-1.4112E-02,2.355E-02
-1.4110E-02,2.355E-02
-1.4108E-02,2.355E-02
-1.4106E-02,2.395E-02
-1.4104E-02,2.355E-02
-1.4102E-02,2.355E-02
-1.4100E-02,2.355E-02
-1.4098E-02,2.395E-02
-1.4096E-02,2.355E-02
-1.4094E-02,2.315E-02
-1.4092E-02,2.355E-02
-1.4090E-02,2.355E-02
-1.4088E-02,2.395E-02
-1.4086E-02,2.355E-02
-1.4084E-02,2.355E-02
-1.4082E-02,2.355E-02
-1.4080E-02,2.355E-02
-1.4078E-02,2.395E-02
-1.4076E-02,2.395E-02
-1.4074E-02,2.355E-02
-1.4072E-02,2.315E-02
-1.4070E-02,2.355E-02
-1.4068E-02,2.355E-02
-1.4066E-02,2.395E-02
-1.4064E-02,2.395E-02
-1.4062E-02,2.355E-02
-1.4060E-02,2.395E-02
